Rank,Clan Name,Score,Leader Name
1,FOTMCorner,11750479,FlyingCat
2,Nocturnal,9740115,ForeskinJo
3,Depressed,7979912,qq
4,JoJoBase,7724971,Janember
5,WeebLounge,7076758,Division
6,Thigh Men,6660588,Mico
7,Fracture,6247979,Akavar
8,Requiem,6123035,Not Joel
9,PrinMeme,6000000,S2AoiS2
10,Aki Kouhai,6000000,Hazeru
11,Skyfarers,6000000,Iverna
12,Exaltia,5827963,Nyto
13,SingSmile,5776773,SS | Deca
14,Gourmets,5551524,Soriu
15,dropkick,5460789,rara
16,Mafty,5428819,Erin
17,Neko Cafe,5354449,Wizi
18,SunShineVN,5181793,shirod
19,OutlawStar,5167316,Mugen
20,PriconneID,5149999,ciri
21,Crunchyrol,5096517,MantasChan
22,Knights LA,5016726,Kike
23,ELT,4871259,RIN
24,Yabai Desu,4750137,Feny
25,Waifu Hunt,4738367,MadWasabi
26,Summer,4632717,Ziltoid
27,Megumi,4476487,Pots
28,Vessalius,4455789,Veigascia
29,Kimokishi,4335179,Kimo
30,Femboys,4263846,Mega Milk
31,HoloMyth,4233238,SkyDragger
32,7 Clowns,4180543,Cantabrum 
33,Mystic,4162974,OmiD
34,Tea-Time ,4162704,chris-san
35,L.G.D,4144358,Kenji
36,Waifu,4066246,ShadowFTL
37,Shibanban,4056431,Twick
38,Genesis,3997829,Astra
39,JoJoRef,3931909,Arap Petra
40,Hololive ,3927206,Serath
41,セラー,3797135,dandelyn
42,Konosuba,3788702,CC
43,CunnyInc.,3711670,Luciana
44,Hebe Hill,3698859,Exi
45,Tenryuu ,3693983,★ Kcalb ★
46,Garuda,3666691,BeingX
47,REBELLION,3660591,NekoMG2
48,Horizon,3646535,Yui
49,KFPrincess,3598649,Ω Lethiur
50,Lugnica,3570596,mob2104
51,Whale King,3570296,Devilin
52,Mekakucity,3557480,Shintaro
53,FuGs,3529253,Raider
54,~Pandora~,3456251,XerxeAlice
55,KnightRaid,3450503,Katz
56,PriNewYear,3379126,Yuute
57,Vanguard ,3363649,Ezra
58,DeadWeight,3311170,BrokenGOD
59,Furinkazan,3291305,Zag
60,Clan,3201334,Brandy
61,<Baneados>,3144322,Luphelion
62,Gourmet,3131516,Genpaku
63,Divinity,3111798,Yuhliel
64,1+1=3,3037866,Keelus
65,Weebs Out,2972394,Ame
66,RimaLove<3,2960221,Justice
67,Chaldea,2948816,Raijin
68,One More!,2945170,Aegis
69,Waifufans2,2922848,Adrien
70,C I I C,2915008,Lazurak
71,arsene,2908788,not atk me
72,Korone,2900631,Anri
73,Z.H.P,2882102,Shark
74,Mugae,2881823,ShinoTomoe
75,Hololive,2866605,Pekora
76,Yum,2858557,Mochi
77,Spatzele,2852552,Inaaa
78,Regulus,2839976,Kevin
79,Mondstadt,2822962,Agus
80,Elysian,2814904,カレイド
81,Nousagi,2806137,Cyandel
82,Mythical★,2801239,ECHO
83,TinyHerb,2788330,Rain
84,Owoboros,2783869,IndSek
85,Maidos,2781320,Ocifer
86,ハーレム王,2772887,クレオラ
87,Omnia,2768597,Riaky
88,Kyaruland,2757832,hori
89,AmeliaHQ,2715351,Loli Lime
90,Elfera,2672596,Weaver
91,Frontliner,2671185,GordEn
92,Naps,2663364,Sayanos
93,TamakiGang,2663264,Loran
94,Polaris’,2660063,Atofe
95,《Fantasy☆》,2658525,Kaiho
96,XCMoogles,2651495,Rald
97,Misters,2651092,Spagoots
98,Lichyard,2648090,Xero
99,Starfall N,2633348,Megumin
100,ZeeebFam,2624467,Hordian
101,INDONESIAN,2587292,FawnClaw
102,Panda,2576759,Domaru
103,NekoLab! ,2567670,Kinohara
104,vrai zero,2561331,Wolfnagi
105,Paladin,2551268,Yuukimura
106,CurryKatsu,2544850,勝 / Katsu
107,AWAKEN,2530647,Andell
108,Fenrir,2530002,Kamehameha
109,Relax,2526286,Sirbors
110,HAACHAMA,2521932,DarK
111,YEPKOK,2501674,Prishe
112,FrozenBags,2472125,Nobbi
113,BGG,2465820,Votens
114,Kokkonuts,2451318,MadeToMaid
115,Zephyr,2433654,Jrizzle
116,DragaliaSG,2431396,Shift
117,ISEKAI 異世界,2421472,ゆこ
118,Cataclysm,2419160,Lunamiel
119,ItalyCrew,2385915,Rasos
120,PR TEAM VN,2376662,Kano
121,Tea Party2,2372293,Sen
122,nuko,2355437,bearbearGR
123,Bread Gang,2339480,Harzgard
124,Roselia,2327468,Jake
125,EXODUS,2325496,CutiePie
126,Moon Tree,2324880,Rakuda
127,Triumph,2323881,Fie
128,Hestia Fam,2305293,Tm
129,Yuru Camp,2293234,Karoshi
130,uwumetic,2283555,Hakeru
131,Gacha Hell,2282591,HETCH
132,Cinnamon,2272735,Yohanne
133,Ignoto?,2269071,Igls
134,Nightraid,2256583,Yuudachi
135,Nazarick,2256082,SuzuSuwa
136,AinSophAur,2245179,Mimmim
137,FlowerLily,2240312,Julz
138,Chaldea,2235539,Rionne
139,POGanitor,2233629,Takeshrimp
140,GrandOrder,2218120,Laundy
141,FanTizer,2209683,Tensei
142,TENGOKU 天国,2208159,JeForceX
143,BananaMilk,2205083,ShinLao
144,Karylovers,2202002,Fujimaru
145,Pleiades,2199672,Waterb0ttl
146,Axis Cult,2199289,Gaelthas
147,NSFW,2192222,Psyclops
148,Aragami,2192048,Aragami
149,Wings INC.,2160212,wingstop
150,Deus Vult,2146616,Montana
151,StarsAlign,2122747,Ziggy
152,Ducky,2114817,yong詠
153,K.F.P,2113807,Utoko■
154,Cat Club,2106216,Tohrmy
155,CHALDEA,2105150,Sorey
156,Royal,2102871,Jinxie
157,FromZero,2072908,Medichen
158,LoliBuster,2069352,Xiong
159,pepeL,2039733,Potato
160,FuG,2030177,Turtle
161,Reckless,2006311,Sloth
162,Garden,1994080,Elma
163,Big Boomer,1987640,Smugcat
164,CCB,1967853,Shiina25
165,Kokoropyon,1951676,Kirinodere
166,KASKUS,1944012,zer0
167,AEsir,1934716,RGrey
168,Four Lord,1931652,Sffgcool
169,Gignomai,1929228,はじめ
170,VirtualSim,1922104,helbitz
171,Explosion!,1909136,Megumin420
172,Lewdless,1897521,Glyph
173,Yawn Squad,1896876,Tea
174,GibWaifus,1871470,Darkdragon
175,AoiSora,1866991,Ryc
176,Etria,1864828,Calixto
177,DGD,1857956,Kamina
178,Neo Magius,1851602,MrMAEE
